OverallQual,GrLivArea,GarageArea,TotalBsmtSF,YearBuilt,YearRemodAdd,KitchenQual,GarageFinish,SalePrice
7,1710,548,856,2003,2003,3,2,208500
6,1262,460,1262,1976,1976,2,2,181500
7,1786,608,920,2001,2002,3,2,223500
7,1717,642,756,1915,1970,3,1,140000
8,2198,836,1145,2000,2000,3,2,250000
5,1362,480,796,1993,1995,2,1,143000
8,1694,636,1686,2004,2005,3,2,307000
7,2090,484,1107,1973,1973,2,0,200000
7,1774,468,952,1931,1950,2,1,129900
5,1077,205,991,1939,1950,2,2,118000
5,1040,384,1040,1965,1965,2,1,129500
9,2324,736,1175,2005,2006,4,3,345000
5,912,352,912,1962,1962,2,0,144000
7,1494,840,1494,2006,2007,3,2,279500
6,1253,352,1253,1960,1960,2,2,157000
7,854,576,832,1929,2001,2,1,132000
6,1004,480,1004,1970,1970,2,3,149000
4,1296,516,0,1967,1967,2,1,90000
5,1114,576,1114,2004,2004,3,1,159000
5,1339,294,1029,1958,1965,2,1,139000
8,2376,853,1158,2005,2006,3,2,325300
7,1108,280,637,1930,1950,3,1,139400
8,1795,534,1777,2002,2002,3,2,230000
5,1060,572,1040,1976,1976,2,0,129900
5,1060,270,1060,1968,2001,3,1,154000
8,1600,890,1566,2007,2007,3,2,256300
5,900,576,900,1951,2000,3,1,134800
8,1704,772,1704,2007,2008,3,0,306000
5,1600,319,1484,1957,1997,2,2,207500
4,520,240,520,1927,1950,1,1,68500
4,1317,250,649,1920,1950,2,1,40000
5,1228,271,1228,1966,2006,3,1,149350
8,1234,484,1234,2007,2007,3,2,179900
5,1700,447,1398,1959,1959,3,2,165500
9,1561,556,1561,2005,2005,4,3,277500
8,2452,691,1117,2004,2005,3,0,309000
5,1097,672,1097,1994,1995,2,1,145000
5,1297,498,1297,1954,1990,2,3,153000
5,1057,246,1057,1953,2007,3,1,109000
4,1152,0,0,1955,1955,1,0,82000
6,1324,440,1088,1965,1965,2,0,160000
5,1328,308,1350,1959,1959,2,0,170000
5,884,504,840,1983,1983,3,2,144000
5,938,308,938,1975,1980,2,1,130250
5,1150,300,1150,1959,1959,2,2,141000
9,1752,576,1752,2005,2005,4,2,319900
7,2149,670,1434,2003,2003,3,2,239686
8,1656,826,1656,2006,2006,3,0,249700
4,1452,0,736,1920,2008,2,0,113000
5,955,386,955,1966,1966,2,1,127000
6,1470,388,794,1997,1997,2,3,177000
6,1176,528,816,1934,1950,2,1,114500
5,816,516,816,1963,1963,2,1,110000
9,1842,894,1842,1981,1987,3,3,385000
5,1360,572,384,1955,1955,2,1,130000
6,1425,576,1425,1964,1964,2,2,180500
8,1739,480,970,1999,2000,3,3,172500
7,1720,565,860,2004,2004,3,2,196500
10,2945,641,1410,2006,2006,3,3,438780
5,780,352,780,1972,1972,2,1,124900
6,1158,576,1158,2004,2004,3,1,158000
5,1111,288,530,1920,1996,1,1,101000
8,1370,484,1370,2006,2006,3,2,202500
7,1710,480,576,1921,1950,2,1,140000
7,2034,645,1057,1997,1998,3,2,219500
8,2473,852,1143,2004,2005,3,0,317000
7,2207,576,1947,1970,1989,2,2,180000
7,1479,558,1453,2003,2003,3,2,226000
4,747,220,747,1945,1950,2,1,80000
7,2287,667,1304,1953,1953,2,3,225000
7,2223,516,2223,1973,1973,2,3,244000
4,845,360,845,1982,2006,2,1,129500
7,1718,427,832,1998,1998,2,3,185000
5,1086,490,1086,1954,2003,2,1,144900
3,1605,379,840,1915,1950,2,1,107400
4,988,297,462,1973,1973,2,1,91000
4,952,283,952,1956,1956,2,1,135750
5,1285,240,672,1948,2001,2,1,127000
4,1768,0,1768,1968,1968,2,0,136500
5,1230,440,440,1910,1981,2,1,110000
6,2142,509,896,1968,1968,3,3,193500
6,1337,405,1237,1998,1998,2,3,153500
8,1563,758,1563,2007,2007,3,2,245000
5,1065,461,1065,1960,1960,2,1,126500
7,1474,400,384,1995,1996,2,3,168500
8,2417,462,1288,1991,1992,3,1,260000
6,1560,400,684,2005,2005,3,3,174000
6,1224,528,612,2009,2009,3,2,164500
3,1526,0,1013,1915,1982,1,0,85000
4,990,0,990,1994,1995,2,0,123600
4,1040,420,0,1950,1950,2,1,109900
5,1235,480,1235,1961,1961,2,1,98600
5,964,432,876,1921,2006,2,1,163500
6,2291,506,1214,1910,1998,2,1,133900
6,1786,684,824,1997,1997,3,2,204750
6,1470,420,680,1993,1993,2,3,185000
7,1588,472,1588,1999,1999,3,2,214000
4,960,432,960,1965,1965,2,3,94750
5,835,366,458,1920,1950,2,1,83000
4,1225,0,950,1959,1959,2,0,128950
6,1610,480,1610,1977,2001,3,2,205000
6,1732,476,741,1985,1985,3,3,178000
5,1535,410,0,1979,1979,2,1,118964
7,1226,740,1226,2009,2009,3,2,198900
7,1818,240,1040,1931,1950,2,0,169500
8,1992,648,1053,2003,2004,3,2,250000
4,1047,273,641,1885,1995,2,1,100000
5,789,250,789,1948,1950,2,1,115000
5,1517,0,793,1919,2005,1,0,115000
6,1844,546,1844,1977,1977,2,2,190000
6,1855,325,994,1954,1972,2,1,136900
7,1430,400,384,2000,2000,2,3,180000
7,2696,792,1264,2007,2007,4,0,383970
6,2259,450,1809,1953,1953,3,1,217000
6,2320,180,1028,1945,2002,3,1,259500
6,1458,440,729,1999,1999,2,1,176000
5,1092,288,1092,1962,1962,2,1,139000
5,1125,430,1125,2006,2007,2,1,155000
7,3222,594,1673,1990,1990,3,1,320000
6,1456,390,728,2005,2006,3,3,163990
6,988,540,938,1969,1969,2,1,180000
4,1123,264,732,1939,1950,2,1,100000
6,1080,288,1080,1958,1958,2,1,136000
6,1199,530,1199,1993,1993,3,2,153900
6,1586,435,1362,1979,1998,2,1,181000
6,754,0,520,1935,1982,2,0,84500
6,958,440,1078,1976,1976,2,2,128000
5,840,0,672,1930,1950,2,0,87000
6,1348,453,660,1966,1966,2,2,155000
5,1053,750,1008,1958,1991,4,2,150000
7,2157,487,924,1966,1966,3,0,226000
6,2054,390,992,2000,2000,3,2,244000
5,1327,624,1063,1959,2002,3,1,150750
8,1296,471,1267,2001,2002,3,3,220000
5,1721,440,1461,1968,1993,2,2,180000
7,1682,530,1304,1970,1970,2,1,174000
5,1214,318,1214,1967,1967,2,2,143000
7,1959,766,1907,1988,1989,2,1,171000
8,1852,660,1004,1999,2000,3,3,230000
6,1764,470,928,1997,1997,3,2,231500
4,864,0,864,1971,1971,2,0,115000
7,1734,660,1734,2005,2005,3,0,260000
5,1385,720,910,1952,1952,2,1,166000
7,1501,577,1490,1999,1999,3,2,204000
5,1728,504,1728,1963,1963,2,1,125000
6,1709,380,970,2004,2006,3,1,130000
5,875,180,715,1931,1993,2,1,105000
7,2035,434,884,2001,2001,3,3,222500
7,1080,0,1080,2004,2005,3,0,141000
5,1344,240,896,1936,1950,2,0,115000
5,969,440,969,1975,1975,2,1,122000
8,1710,866,1710,2007,2008,3,2,372402
6,1993,495,825,1971,1971,2,2,190000
6,1252,564,1602,1960,1975,2,2,235000
6,1200,312,1200,1923,1950,2,1,125000
6,1096,0,572,1924,1950,2,0,79000
5,1040,625,0,1950,1950,2,1,109500
8,1968,680,774,2009,2010,4,3,269500
7,1947,678,991,2004,2005,3,2,254900
7,2462,576,1392,2005,2006,3,2,320000
6,1232,516,1232,1984,1984,2,1,162500
9,2668,726,1572,2003,2004,4,3,412500
7,1541,532,1541,2005,2005,3,0,220000
4,882,0,882,1956,1956,2,0,103200
6,1616,216,1149,1926,2004,3,1,152000
5,1355,0,644,1940,1999,2,0,127500
5,1867,303,1617,1955,1993,2,3,190000
8,2161,789,1582,2007,2007,4,3,325624
7,1720,440,840,2004,2004,3,3,183500
8,1707,511,1686,1981,1981,2,2,228000
5,1382,660,720,1941,1950,2,0,128500
6,1656,528,1080,1960,1960,2,3,215000
7,1767,504,1064,1987,1987,3,2,239000
6,1362,504,1362,1961,1961,2,0,163000
6,1651,616,1606,1986,1986,2,3,184000
6,2158,576,1202,1950,2001,3,1,243000
6,2060,521,1151,1988,1989,2,0,211000
5,1920,451,1052,1958,1958,3,1,172500
9,2234,1166,2216,2008,2009,4,3,501837
5,968,480,968,1923,2006,2,1,100000
6,1525,440,756,2000,2000,3,1,177000
7,1802,216,793,1920,1950,2,1,200100
5,1340,252,0,1957,2006,2,0,120000
7,2082,484,1362,2003,2003,3,1,200000
5,1252,576,504,1908,1991,2,1,127000
10,3608,840,1107,1892,1993,4,1,475000
7,1217,497,1188,1990,1991,3,1,173000
5,1656,180,660,1916,1987,2,1,135000
5,1224,528,1086,1979,1979,2,1,153337
8,1593,682,1593,2001,2002,4,3,286000
8,2727,440,853,1932,1994,3,1,315000
7,1479,484,725,1972,2004,3,3,184000
7,1431,666,1431,1999,1999,3,3,192000
7,1709,380,970,2004,2004,3,1,130000
5,864,352,864,1972,1972,2,1,127000
6,1456,440,855,1976,1976,2,0,148500
7,1726,786,1726,2007,2007,4,0,311872
8,3112,795,1360,1918,1990,3,1,235000
6,2229,0,755,1912,1950,2,0,104000
8,1713,856,1713,2004,2005,4,3,274900
4,1121,440,1121,2003,2004,2,2,140000
6,1279,473,1196,1977,1977,2,1,171500
6,1310,398,617,1924,1950,2,1,112000
6,848,420,848,2004,2004,3,2,149000
5,1284,240,720,1947,1950,2,1,110000
7,1442,500,1424,1990,1990,2,0,180500
5,1696,349,1140,1962,1962,2,0,143900
4,1100,312,1100,1960,1960,2,2,141000
7,2062,454,1157,1988,1989,2,0,277000
6,1092,504,1092,1964,1964,2,2,145000
5,864,0,864,1925,1950,2,0,98000
6,1212,460,1212,2009,2009,3,2,186000
7,1852,644,900,2009,2009,3,2,252678
5,990,576,990,1995,1995,2,1,156000
6,1392,299,689,1977,1977,2,3,161750
5,1236,447,1070,1957,1996,3,1,134450
7,1436,484,1436,2004,2004,3,0,210000
4,1328,210,686,1925,1950,2,1,107000
7,1954,431,798,1939,2006,3,0,311500
7,1248,438,1248,2005,2006,3,3,167240
7,1498,675,1498,2006,2006,3,0,204900
6,2267,390,1010,2002,2002,3,2,200000
6,1552,434,713,1975,1975,2,2,179900
4,864,576,864,1971,1971,2,1,97000
10,2392,968,2392,2003,2003,4,3,386250
5,1302,280,630,1971,1971,2,1,112000
7,2520,721,1203,1995,1995,3,0,290000
6,987,280,483,1970,1970,2,1,106000
5,912,336,912,1967,1967,2,1,125000
7,1555,430,1373,2005,2006,3,3,192500
6,1194,312,1194,1959,1959,2,2,148000
8,2794,810,1462,1995,1996,4,3,403000
6,987,288,483,1972,1972,2,1,94500
5,894,308,894,1976,1976,2,1,128200
6,1960,440,860,2002,2002,3,3,216500
6,987,264,483,1971,1971,2,1,89500
7,1414,494,1414,2004,2004,3,2,185500
7,1744,457,996,1993,2003,3,2,194500
8,1694,818,1694,2007,2007,3,3,318000
6,1487,220,735,1945,1950,2,1,113000
8,1566,750,1566,2008,2008,3,2,262500
5,866,0,686,1945,1997,3,0,110500
5,1440,352,540,1900,1950,2,1,79000
6,1217,288,626,1980,1980,2,2,120000
7,2110,463,948,1994,2002,3,2,205000
7,1872,604,1845,1988,1988,2,0,241500
6,1928,440,1020,1910,1950,1,1,137000
6,1375,451,1367,1954,1954,2,1,140000
7,1668,500,840,2003,2003,3,2,180000
6,2144,389,1444,1958,2006,3,3,277000
3,1306,0,728,1940,1966,1,0,76500
8,1625,538,1573,2006,2007,3,0,235000
6,1640,520,798,2004,2004,3,2,173000
6,1302,309,1302,1964,1991,3,2,158000
5,1314,294,1314,1957,1957,2,2,145000
7,2291,429,975,1999,1999,3,3,230000
6,1728,673,864,2003,2003,3,2,207500
7,1604,660,1604,2006,2006,3,2,220000
7,1792,564,963,2001,2001,3,2,231500
5,882,308,0,1956,1956,2,1,97000
6,1382,884,1362,1962,1962,2,1,176000
8,2574,868,1482,2007,2007,4,3,276000
6,1212,492,506,1977,1995,2,1,151000
5,1316,484,926,1929,2001,2,1,130000
5,764,504,680,1925,2004,2,1,73000
6,1422,576,1422,1981,1981,3,3,175500
6,1511,413,802,1997,1997,2,3,185000
5,2192,240,720,1939,1997,3,0,179500
5,778,924,740,1940,1955,2,0,120500
6,1113,504,1143,1976,1976,2,2,148000
8,1939,1053,1095,2006,2006,3,2,266000
7,1363,439,1385,1954,2005,2,1,241500
8,2270,671,1152,1999,2007,3,3,290000
6,1632,338,1240,1958,1988,2,2,139000
5,816,264,816,1982,1982,2,1,124500
7,1548,672,952,1925,2007,4,0,205000
7,1560,573,1560,2003,2003,3,3,201000
4,864,400,864,1951,1951,2,1,141000
9,2121,732,2121,2006,2007,4,3,415298
7,2022,505,1160,1977,1977,2,3,192000
7,1982,575,807,1989,1989,3,0,228500
6,1262,572,1262,2006,2006,3,0,185000
7,1314,626,1314,2007,2008,3,2,207500
8,1468,898,1468,2008,2009,3,3,244600
6,1575,529,1575,1992,1992,3,2,179200
7,1250,528,625,2006,2007,3,2,164700
6,1734,440,912,1962,1981,3,0,159000
4,858,0,858,1971,1971,2,0,88000
5,900,280,882,1967,1967,2,1,122000
6,1396,384,698,1915,2003,2,1,153575
8,1919,685,1079,2006,2006,3,2,233230
5,1716,0,780,1912,2000,1,0,135900
5,1716,281,768,1949,2008,2,1,131000
7,2263,539,795,1977,1994,3,3,235000
6,1644,418,1416,1953,1953,2,3,167000
6,1003,588,1003,1984,1984,2,0,142500
5,1558,282,910,1950,1950,2,1,152000
7,1950,576,975,1997,1998,3,2,239000
6,1743,539,702,1968,1968,2,1,175000
6,1152,300,1092,1950,2004,3,1,158500
5,1336,375,1165,1953,1953,2,1,157000
8,2452,683,1028,1998,1999,3,3,267000
7,1541,843,1541,2001,2002,3,2,205000
5,894,552,894,1972,1972,2,1,149900
7,3493,870,1470,1880,2002,3,1,295000
8,2000,888,2000,2004,2005,3,0,305900
7,2243,746,700,1990,1991,3,2,225000
6,1406,0,319,1920,1950,1,0,89500
4,861,539,861,1940,1950,2,0,82500
9,1944,708,1896,2003,2004,4,3,360000
6,1501,420,697,1993,1994,3,3,165600
6,972,240,972,1948,2002,2,1,132000
5,1118,410,793,1939,1950,2,1,119900
7,2036,513,2136,1965,1965,2,2,375000
7,1641,546,728,1925,1990,4,1,178000
7,1432,432,716,2004,2005,3,3,188500
7,2353,484,845,1980,1980,4,2,260000
8,1959,1025,1088,2006,2006,3,2,270000
7,2646,656,1347,1993,1993,3,2,260000
7,1472,588,1372,1980,1980,2,1,187500
9,2596,840,1249,2006,2006,3,2,342643
8,2468,872,1136,2004,2004,3,0,354000
7,2730,576,1502,1986,1987,3,0,301000
3,1163,220,1162,1955,2005,2,1,126175
7,2978,564,710,1967,2007,3,3,242000
5,803,360,720,1941,1950,2,1,87000
8,1719,473,1719,1993,1993,3,3,324000
6,1383,292,1383,1960,1960,2,0,145250
6,2134,441,844,1916,1994,3,1,214500
5,1192,189,596,1920,1950,2,1,78000
5,1728,352,1728,1964,1964,2,1,119000
5,1056,308,1056,1958,1992,2,2,139000
8,1629,880,3206,2003,2004,3,0,284000
7,1358,484,1358,2004,2004,3,2,207000
6,1638,472,943,1998,1998,2,3,192000
5,1786,529,1499,1965,1965,2,3,228950
9,1922,676,1922,2005,2006,3,3,377426
7,1536,532,1536,2002,2003,3,2,214000
7,1621,440,1208,1984,1998,3,0,202500
6,1215,297,1215,1958,1998,2,1,155000
8,1908,431,967,2002,2002,3,3,202900
4,841,294,721,1950,1950,2,1,82000
3,1040,400,0,1949,1950,2,1,87500
9,1684,564,1684,2005,2005,4,2,266000
5,1112,336,536,1976,1976,2,1,85000
6,1577,312,972,1939,1950,1,1,140200
6,958,301,958,1960,1998,2,2,151500
6,1478,498,1478,1960,1960,2,1,157500
7,1626,474,764,2003,2004,3,2,154000
9,2728,706,1848,2005,2006,4,3,437154
9,1869,617,1869,2007,2007,4,2,318061
7,1453,445,1453,1986,1986,3,2,190000
5,1111,200,616,1941,1950,2,1,95000
6,720,484,624,1928,2003,2,1,105900
6,1595,240,940,1940,2000,2,1,140000
6,1200,521,1200,1995,1995,3,2,177500
6,1167,400,1158,1992,1992,3,2,173000
5,1142,528,1142,1976,1976,2,3,134000
5,1352,288,1062,1958,1958,3,1,130000
8,1924,592,1086,1998,1998,3,2,280000
6,912,470,888,1978,1978,2,2,156000
5,1505,240,883,1940,1982,2,0,145000
7,1922,672,0,2003,2003,3,2,198500
6,987,264,483,1972,2007,3,1,118000
6,1574,566,796,1976,1976,2,3,190000
5,1344,468,672,1920,1997,2,1,147000
6,1394,514,1394,1963,1963,2,2,159000
6,1431,296,1099,1962,1962,2,2,165000
5,1268,244,1268,1954,1954,2,3,132000
5,1287,576,1063,1959,2006,3,3,162000
6,1664,460,953,2000,2000,2,2,172400
4,1588,680,0,1959,1959,2,3,134432
6,752,264,744,1984,1984,2,1,125000
5,1319,270,608,1953,1953,2,1,123000
7,1928,434,847,2003,2004,3,3,219500
1,904,0,683,1922,1950,1,0,61000
5,914,576,870,1996,1996,2,1,148000
8,2466,610,1580,2004,2005,3,2,340000
9,1856,834,1856,2010,2010,4,3,394432
6,1800,463,982,2000,2000,2,3,179000
5,1691,308,1026,1924,1950,3,1,127000
7,1301,572,1293,2006,2006,3,2,187750
7,1797,639,939,2006,2006,3,0,213500
6,784,360,784,1928,1950,2,1,76000
6,1953,501,1580,1992,1992,3,3,240000
8,1269,430,1256,2004,2005,3,3,192000
5,1184,0,658,1910,1996,2,0,81000
6,1125,352,1041,1976,1976,2,1,125000
7,1479,577,1468,1999,2000,3,2,191000
10,2332,846,1682,2007,2008,4,3,426000
5,1367,384,861,1900,1950,2,1,119000
6,1961,560,804,2001,2002,3,3,215000
5,882,294,0,1959,1959,2,2,106500
4,788,0,788,1941,1950,2,0,100000
5,1034,240,735,1940,1950,2,1,109000
5,1144,596,1144,1956,1956,2,1,129000
5,894,600,894,1972,1972,2,2,123000
5,1812,264,864,1962,1962,2,2,169500
5,1077,338,961,1920,1950,2,1,67000
7,1550,438,1092,2006,2007,3,3,241000
8,1288,500,1260,1996,1996,4,3,245500
7,1310,400,1310,2005,2005,3,3,164990
5,672,240,672,1940,1997,2,1,108000
8,2263,420,1141,1998,1998,3,3,258000
6,1572,373,806,1995,1996,2,3,168000
4,1620,490,1281,1976,1993,2,1,150000
6,1639,240,1064,1936,1950,2,1,115000
6,1680,308,840,1915,1976,2,0,177000
7,2172,947,1063,2006,2006,3,2,280000
8,2078,836,1034,2007,2008,4,3,339750
5,1276,350,1276,1958,1958,2,1,60000
5,1056,572,1056,1955,1955,2,3,145000
7,1478,484,1470,2009,2009,3,3,222000
5,1028,360,1008,1927,1950,2,1,115000
7,2097,678,1080,1993,1993,3,0,228000
7,1340,396,1340,2007,2007,3,3,181134
6,1400,440,672,1978,1978,2,3,149500
6,2624,864,1370,1918,1950,2,1,239000
5,1134,240,756,1940,1950,2,1,126000
5,1056,304,1056,1968,1968,2,1,142000
7,1344,784,1344,1997,1998,2,3,206300
6,1602,529,1602,1977,2000,3,3,215000
5,988,520,988,1954,1954,2,2,113000
8,2630,696,1470,1998,1998,3,0,315000
6,1196,297,1196,1956,1956,2,2,139000
7,1389,240,651,1946,1992,2,1,135000
7,1644,569,1518,1989,1989,3,3,275000
4,907,352,907,1957,1957,2,1,109008
7,1208,628,1208,2007,2007,3,2,195400
6,1412,576,1392,1988,1988,3,1,175000
6,987,264,483,1971,1971,2,1,85400
6,1198,0,901,1920,1998,2,0,79900
5,1365,440,765,1971,1971,2,1,122500
6,1604,470,926,1997,1998,2,3,181000
4,630,0,630,1972,1972,2,0,81000
7,1661,550,799,1996,1996,3,2,212000
6,1118,440,648,1920,1950,2,0,116000
6,904,180,884,1926,2004,2,1,119000
5,694,352,440,1913,2002,3,1,90350
6,1196,528,684,1920,2000,3,1,110000
10,2402,672,3094,2008,2008,4,3,555000
4,1440,0,1440,1955,1955,1,0,118000
5,1573,360,1078,1930,1992,2,1,162900
7,1258,648,1258,2006,2007,3,3,172500
7,1908,493,915,1994,1995,3,1,210000
6,1689,480,1436,1956,1956,2,1,127500
6,1888,578,1517,1966,2002,3,3,190000
7,1886,431,930,1998,1999,3,3,199900
6,1376,198,780,1937,1950,2,1,119500
3,1183,308,649,1948,2002,2,1,120000
6,813,270,813,1930,2005,3,1,110000
7,1533,576,1533,1975,1975,3,1,280000
6,1756,422,872,1996,1997,2,3,204000
8,1590,676,768,2008,2008,3,2,210000
5,1728,560,1728,1976,1976,2,1,188000
7,1242,528,1242,1973,1973,2,1,175500
5,1344,513,624,1916,1950,2,1,98000
4,1663,529,1364,1954,1994,3,0,256000
8,1666,228,588,1925,1996,3,1,161000
5,1203,352,709,1950,1950,3,1,110000
8,1935,552,832,2009,2009,2,3,263435
7,1135,576,560,1936,2007,3,2,155000
5,864,360,864,1965,1965,2,1,62383
6,1660,240,715,1934,1995,2,1,188700
5,1040,0,1040,1978,1978,2,0,124000
7,1414,398,1375,2004,2004,3,3,178740
7,1277,526,1277,1970,1970,2,1,167000
5,1644,312,728,1942,1995,3,1,146500
8,1634,866,1626,2006,2006,3,0,250000
6,1710,506,832,1993,1993,3,2,187000
8,1502,528,1488,1985,1985,3,2,212000
7,1969,534,808,1977,1977,2,2,190000
6,1072,525,547,2005,2005,2,0,148000
8,1976,908,1976,2006,2007,3,2,440000
8,1652,499,1494,2000,2000,4,2,251000
5,970,624,970,1963,1963,2,1,132500
6,1493,508,1478,1997,1998,3,3,208900
9,2643,694,2153,2006,2006,4,3,380000
8,1718,826,1705,2007,2008,3,2,297000
4,1131,672,907,1937,2000,2,1,89471
9,1850,772,1833,2004,2005,3,3,326000
9,1792,874,1792,2003,2004,4,3,374000
7,1826,164,910,1915,2005,4,1,155000
6,1216,402,1216,1998,1998,2,1,164000
